1,64,0.2,SGD,512
1,64,0.1,SGD,512
1,64,None,SGD,512
1,128,0.2,SGD,512
1,128,0.1,SGD,512
1,128,None,SGD,512
1,64,0.2,SGD,1024
1,64,0.1,SGD,1024
1,64,None,SGD,1024
1,128,0.2,SGD,1024
1,128,0.1,SGD,1024
1,128,None,SGD,1024
1,64,0.2,SGD,2048
1,64,0.1,SGD,2048
1,64,None,SGD,2048
1,128,0.2,SGD,2048
1,128,0.1,SGD,2048
1,128,None,SGD,2048
1,64,0.2,Adam,512
1,64,0.1,Adam,512
1,64,None,Adam,512
1,128,0.2,Adam,512
1,128,0.1,Adam,512
1,128,None,Adam,512
1,64,0.2,Adam,1024
1,64,0.1,Adam,1024
1,64,None,Adam,1024
1,128,0.2,Adam,1024
1,128,0.1,Adam,1024
1,128,None,Adam,1024
1,64,0.2,Adam,2048
1,64,0.1,Adam,2048
1,64,None,Adam,2048
1,128,0.2,Adam,2048
1,128,0.1,Adam,2048
1,128,None,Adam,2048
1,64,0.2,Adamax,512
1,64,0.1,Adamax,512
1,64,None,Adamax,512
1,128,0.2,Adamax,512
1,128,0.1,Adamax,512
1,128,None,Adamax,512
1,64,0.2,Adamax,1024
1,64,0.1,Adamax,1024
1,64,None,Adamax,1024
1,128,0.2,Adamax,1024
1,128,0.1,Adamax,1024
1,128,None,Adamax,1024
1,64,0.2,Adamax,2048
1,64,0.1,Adamax,2048
1,64,None,Adamax,2048
1,128,0.2,Adamax,2048
1,128,0.1,Adamax,2048
1,128,None,Adamax,2048
2,64,0.2,SGD,512
2,64,0.1,SGD,512
2,64,None,SGD,512
2,128,0.2,SGD,512
2,128,0.1,SGD,512
2,128,None,SGD,512
2,64,0.2,SGD,1024
2,64,0.1,SGD,1024
2,64,None,SGD,1024
2,128,0.2,SGD,1024
2,128,0.1,SGD,1024
2,128,None,SGD,1024
2,64,0.2,SGD,2048
2,64,0.1,SGD,2048
2,64,None,SGD,2048
2,128,0.2,SGD,2048
2,128,0.1,SGD,2048
2,128,None,SGD,2048
2,64,0.2,Adam,512
2,64,0.1,Adam,512
2,64,None,Adam,512
2,128,0.2,Adam,512
2,128,0.1,Adam,512
2,128,None,Adam,512
2,64,0.2,Adam,1024
2,64,0.1,Adam,1024
2,64,None,Adam,1024
2,128,0.2,Adam,1024
2,128,0.1,Adam,1024
2,128,None,Adam,1024
2,64,0.2,Adam,2048
2,64,0.1,Adam,2048
2,64,None,Adam,2048
2,128,0.2,Adam,2048
2,128,0.1,Adam,2048
2,128,None,Adam,2048
2,64,0.2,Adamax,512
2,64,0.1,Adamax,512
2,64,None,Adamax,512
2,128,0.2,Adamax,512
2,128,0.1,Adamax,512
2,128,None,Adamax,512
2,64,0.2,Adamax,1024
2,64,0.1,Adamax,1024
2,64,None,Adamax,1024
2,128,0.2,Adamax,1024
2,128,0.1,Adamax,1024
2,128,None,Adamax,1024
2,64,0.2,Adamax,2048
2,64,0.1,Adamax,2048
2,64,None,Adamax,2048
2,128,0.2,Adamax,2048
2,128,0.1,Adamax,2048
2,128,None,Adamax,2048
3,64,0.2,SGD,512
3,64,0.1,SGD,512
3,64,None,SGD,512
3,128,0.2,SGD,512
3,128,0.1,SGD,512
3,128,None,SGD,512
3,64,0.2,SGD,1024
3,64,0.1,SGD,1024
3,64,None,SGD,1024
3,128,0.2,SGD,1024
3,128,0.1,SGD,1024
3,128,None,SGD,1024
3,64,0.2,SGD,2048
3,64,0.1,SGD,2048
3,64,None,SGD,2048
3,128,0.2,SGD,2048
3,128,0.1,SGD,2048
3,128,None,SGD,2048
3,64,0.2,Adam,512
3,64,0.1,Adam,512
3,64,None,Adam,512
3,128,0.2,Adam,512
3,128,0.1,Adam,512
3,128,None,Adam,512
3,64,0.2,Adam,1024
3,64,0.1,Adam,1024
3,64,None,Adam,1024
3,128,0.2,Adam,1024
3,128,0.1,Adam,1024
3,128,None,Adam,1024
3,64,0.2,Adam,2048
3,64,0.1,Adam,2048
3,64,None,Adam,2048
3,128,0.2,Adam,2048
3,128,0.1,Adam,2048
3,128,None,Adam,2048
3,64,0.2,Adamax,512
3,64,0.1,Adamax,512
3,64,None,Adamax,512
3,128,0.2,Adamax,512
3,128,0.1,Adamax,512
3,128,None,Adamax,512
3,64,0.2,Adamax,1024
3,64,0.1,Adamax,1024
3,64,None,Adamax,1024
3,128,0.2,Adamax,1024
3,128,0.1,Adamax,1024
3,128,None,Adamax,1024
3,64,0.2,Adamax,2048
3,64,0.1,Adamax,2048
3,64,None,Adamax,2048
3,128,0.2,Adamax,2048
3,128,0.1,Adamax,2048
3,128,None,Adamax,2048
